"subject" "activity" "NA"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 2 "walkingupstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
1 3 "walkingdownstairs"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 5 "standing"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 4 "sitting"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 6 "laying"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 1 "walking"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 3 "walkingdownstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
3 2 "walkingupstairs"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 5 "standing"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 4 "sitting"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 6 "laying"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 1 "walking"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 3 "walkingdownstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
5 2 "walkingupstairs"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 5 "standing"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 4 "sitting"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 6 "laying"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 1 "walking"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 3 "walkingdownstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
6 2 "walkingupstairs"
